# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
97 3.03125 -0.1566736076119851495 13.48314498179824383 -3.338341874162445664e-10 -0.01753774165065480339 -0.000694491941939469554 -1.96080213729355309e-10
98 3.0625 -0.157229806875320649 13.48312297243521662 -3.399475019828900456e-10 -0.0177983764267359186 -0.0007042996168856196539 -1.956260661326559286e-10
99 3.09375 -0.157794145076049025 13.48310065762908216 -3.460455580107986793e-10 -0.01805882242330825171 -0.0007140737963137548097 -1.951377928930764594e-10
100 3.125 -0.1583666136047713335 13.48307803853514386 -3.521272869715320566e-10 -0.01831899291911359001 -0.0007238110060095029937 -1.946153267434677105e-10
101 3.15625 -0.1589472011864054568 13.48305511640795906 -3.581916170863286294e-10 -0.01857880261229219454 -0.0007335080699237371679 -1.940585636734899676e-10
102 3.1875 -0.1595358939284853561 13.48303189259212687 -3.642374763380732569e-10 -0.01883816774655704129 -0.0007431621066128240487 -1.934674960558285722e-10
103 3.21875 -0.1601326753743027853 13.48300836851321094 -3.70263796997401681e-10 -0.01909700626615809527 -0.0007527705253354515088 -1.928422610985098791e-10
104 3.25 -0.160737526561452404 13.48298454566882043 -3.762695191225018009e-10 -0.01935523798878745205 -0.0007623310204790672163 -1.92183108003203218e-10
105 3.28125 -0.1613504260860036954 13.48296042561996444 -3.822535933387061604e-10 -0.01961278478564160502 -0.00077184156337294313 -1.914903749185391944e-10
106 3.3125 -0.1619713501722243043 13.48293600998274222 -3.882149811696399537e-10 -0.01986957075905934275 -0.000781300391114300957 -1.907644105898813085e-10
107 3.34375 -0.1626002727475418519 13.48291130042047214 -3.941526560182475128e-10 -0.0201255224101619494 -0.0007907059926155197808 -1.900055951554423542e-10
108 3.375 -0.1632371655222729645 13.4828862986363287 -4.000656032266271405e-10 -0.02038056879139523228 -0.0008000570925753921906 -1.892143106681476743e-10
109 3.40625 -0.1638819980735659876 13.48286100636650531 -4.059528197452068942e-10 -0.02063464164137685658 -0.0008093526343467001127 -1.883909285945520153e-10
110 3.4375 -0.1645347379329902271 13.48283542537392066 -4.118133158973443258e-10 -0.0208876755015757129 -0.0008185917626878076812 -1.875358768683981987e-10
111 3.46875 -0.1651953506772335101 13.48280955744244558 -4.176461161592787521e-10 -0.02113960781578500675 -0.0008277738072007141115 -1.866496083819009165e-10
112 3.5 -0.1658638000214200658 13.48278340437160416 -4.23450261059308266e-10 -0.02139037901396947938 -0.0008368982669460972622 -1.857326368009442896e-10
113 3.53125 -0.1665400479146062207 13.48275696797171719 -4.292248090641305592e-10 -0.0216399325819566328 -0.0008459647964051633271 -1.847855361543138754e-10
114 3.5625 -0.1672240546370388214 13.48273025005944525 -4.349688383464397966e-10 -0.02188821511784321341 -0.0008549731927179957244 -1.838089370338953897e-10
115 3.59375 -0.1679157788987640232 13.48270325245369605 -4.40681448876543216e-10 -0.02213517637520669157 -0.0008639233839966097396 -1.828035369633099107e-10
116 3.625 -0.1686151779391556749 13.48267597697186737 -4.463617635899808466e-10 -0.02238076929253326672 -0.0008728154184934191562 -1.817700708300034807e-10
117 3.65625 -0.1693222076269021437 13.48264842542641517 -4.520089307137176061e-10 -0.0226249500078866371 -0.0008816494544600392367 -1.807093479595764853e-10
118 3.6875 -0.1700368225599586391 13.48262059962170767 -4.57622124431382939e-10 -0.02286767785780791096 -0.000890425750614890041 -1.796221989652900592e-10
119 3.71875 -0.1707589761649500326 13.48259250135117071 -4.632005460675266363e-10 -0.02310891535972462232 -0.0008991446571982263363 -1.785094923565984701e-10
120 3.75 -0.1714886207955011455 13.48256413239468188 -4.687434254238430367e-10 -0.02334862817763556572 -0.0009078066076352327542 -1.773721394021257423e-10
121 3.78125 -0.1722257078289826104 13.48253549451621858 -4.742500221171189167e-10 -0.02358678507140700084 -0.0009164121108161655095 -1.762110941848298143e-10
122 3.8125 -0.1729701877611870831 13.48250658946171932 -4.797196256861995247e-10 -0.02382335783054349149 -0.0009249617439897775233 -1.750273142105792742e-10
123 3.84375 -0.1737220102984907144 13.48247741895714924 -4.8515155771142373e-10 -0.02405832119371588765 -0.000933456146230331814 -1.738218248071735628e-10
124 3.875 -0.1744811244471035083 13.48244798470676109 -4.905451718612119209e-10 -0.02429165275560943651 -0.0009418960124275689658 -1.725956527932207136e-10
125 3.90625 -0.1752474785990660866 13.48241828839151957 -4.958998546695128997e-10 -0.0245233328628024147 -0.0009502820877499905351 -1.713498498656325605e-10
126 3.9375 -0.176021020614704593 13.48238833166768913 -5.01215026611481752e-10 -0.02475334450043248369 -0.0009586151625475853189 -1.700855021430024727e-10
127 3.96875 -0.1768016979013107559 13.48235811616557456 -5.064901419289765844e-10 -0.02498167317139718055 -0.0009668960676844931762 -1.688036901598355916e-10
128 4 -0.177589457487867225 13.48232764348837698 -5.11724689688283679e-10 -0.02520830676980682569 -0.0009751256703216375785 -1.675055282978275964e-10
129 4.03125 -0.1783842460956910903 13.48229691521118312 -5.169181936920321678e-10 -0.02543323545036352273 -0.0009833048701993879741 -1.661921281199507118e-10
130 4.0625 -0.1791860102049187831 13.48226593288004338 -5.220702125606199342e-10 -0.02565645149528658631 -0.0009914345964619592725 -1.648646037948081636e-10
131 4.09375 -0.1799946961168061299 13.48223469801113517 -5.271803402874244781e-10 -0.025877949180394752 -0.0009995158050490056227 -1.635240872577442396e-10
132 4.125 -0.1808102500118668465 13.48220321208998662 -5.322482053349630295e-10 -0.02609772464194325126 -0.001007549476737771817 -1.621716815212337251e-10
133 4.15625 -0.1816326180039176397 13.482171476570743 -5.372734710459924216e-10 -0.0263157757456255019 -0.001015536615774700587 -1.608085027529398468e-10
134 4.1875 -0.1824617461901418825 13.48213949287545965 -5.422558347105067444e-10 -0.02653210195917598407 -0.001023478249062035727 -1.594356372644592861e-10
135 4.21875 -0.1832975806973232424 13.48210726239339863 -5.471950274561334328e-10 -0.02674670422980382489 -0.001031375425929270759 -1.580541678600544191e-10
136 4.25 -0.1841400677244252881 13.4820747864803252 -5.52090813582099328e-10 -0.02695958486726537928 -0.001039229218323636751 -1.566651560309085428e-10
137 4.28125 -0.1849891535817425881 13.48204206645778847 -5.569429894014606119e-10 -0.02717074743415385726 -0.001047040721168509192 -1.552696262195595851e-10
138 4.3125 -0.1858447847270407738 13.48200910361238414 -5.617513821435209885e-10 -0.02738019664954225926 -0.001054811052939716963 -1.538685677459313535e-10
139 4.34375 -0.1867069077989442216 13.48197589919502803 -5.665158497271365298e-10 -0.02758793830091022317 -0.001062541355370746898 -1.524629626756977087e-10
140 4.375 -0.1875754696556743428 13.48194245442016559 -5.712362793278806564e-10 -0.02779397941536378494 -0.001070232795605205586 -1.510537472238115081e-10
141 4.40625 -0.1884504174057784753 13.48190877046480907 -5.759125860016615069e-10 -0.02799832800333188626 -0.001077886571434232303 -1.496418135609861554e-10
142 4.4375 -0.1893316983903400585 13.48187484846792472 -5.805447035599978885e-10 -0.0282009915059702708 -0.001085503900271612933 -1.482277618667639011e-10
143 4.46875 -0.190219260233359666 13.48184068953048431 -5.851326005114984294e-10 -0.02840197897662786672 -0.001093085998074694223 -1.468127024480183168e-10
144 4.5 -0.1911130508553132712 13.48180629471366565 -5.896762707452990425e-10 -0.02860129990251496224 -0.001100634138221957391 -1.453974474816206284e-10
